País,Capital,Continente,Población
Afghanistan,Kabul,Asia,27657145
Åland Islands,Mariehamn,Europe,28875
Albania,Tirana,Europe,2886026
Algeria,Algiers,Africa,40400000
American Samoa,Pago Pago,Oceania,57100
Andorra,Andorra la Vella,Europe,78014
Angola,Luanda,Africa,25868000
Anguilla,The Valley,Americas,13452
Antarctica,,Polar,1000
Antigua and Barbuda,Saint John's,Americas,86295
Argentina,Buenos Aires,Americas,43590400
Armenia,Yerevan,Asia,2994400
Aruba,Oranjestad,Americas,107394
Australia,Canberra,Oceania,24117360
Austria,Vienna,Europe,8725931
Azerbaijan,Baku,Asia,9730500
Bahamas,Nassau,Americas,378040
Bahrain,Manama,Asia,1404900
Bangladesh,Dhaka,Asia,161006790
Barbados,Bridgetown,Americas,285000
Belarus,Minsk,Europe,9498700
Belgium,Brussels,Europe,11319511
Belize,Belmopan,Americas,370300
Benin,Porto-Novo,Africa,10653654
Bermuda,Hamilton,Americas,61954
Bhutan,Thimphu,Asia,775620
Bolivia (Plurinational State of),Sucre,Americas,10985059
"Bonaire, Sint Eustatius and Saba",Kralendijk,Americas,17408
Bosnia and Herzegovina,Sarajevo,Europe,3531159
Botswana,Gaborone,Africa,2141206
Bouvet Island,,,0
Brazil,Brasília,Americas,206135893
British Indian Ocean Territory,Diego Garcia,Africa,3000
United States Minor Outlying Islands,,Americas,300
Virgin Islands (British),Road Town,Americas,28514
Virgin Islands (U.S.),Charlotte Amalie,Americas,114743
Brunei Darussalam,Bandar Seri Begawan,Asia,411900
Bulgaria,Sofia,Europe,7153784
Burkina Faso,Ouagadougou,Africa,19034397
Burundi,Bujumbura,Africa,10114505
Cambodia,Phnom Penh,Asia,15626444
Cameroon,Yaoundé,Africa,22709892
Canada,Ottawa,Americas,36155487
Cabo Verde,Praia,Africa,531239
Cayman Islands,George Town,Americas,58238
Central African Republic,Bangui,Africa,4998000
Chad,N'Djamena,Africa,14497000
Chile,Santiago,Americas,18191900
China,Beijing,Asia,1377422166
Christmas Island,Flying Fish Cove,Oceania,2072
Cocos (Keeling) Islands,West Island,Oceania,550
Colombia,Bogotá,Americas,48759958
Comoros,Moroni,Africa,806153
Congo,Brazzaville,Africa,4741000
Congo (Democratic Republic of the),Kinshasa,Africa,85026000
Cook Islands,Avarua,Oceania,18100
Costa Rica,San José,Americas,4890379
Croatia,Zagreb,Europe,4190669
Cuba,Havana,Americas,11239004
Curaçao,Willemstad,Americas,154843
Cyprus,Nicosia,Europe,847000
Czech Republic,Prague,Europe,10558524
Denmark,Copenhagen,Europe,5717014
Djibouti,Djibouti,Africa,900000
Dominica,Roseau,Americas,71293
Dominican Republic,Santo Domingo,Americas,10075045
Ecuador,Quito,Americas,16545799
Egypt,Cairo,Africa,91290000
El Salvador,San Salvador,Americas,6520675
Equatorial Guinea,Malabo,Africa,1222442
Eritrea,Asmara,Africa,5352000
Estonia,Tallinn,Europe,1315944
Ethiopia,Addis Ababa,Africa,92206005
Falkland Islands (Malvinas),Stanley,Americas,2563
Faroe Islands,Tórshavn,Europe,49376
Fiji,Suva,Oceania,867000
Finland,Helsinki,Europe,5491817
France,Paris,Europe,66710000
French Guiana,Cayenne,Americas,254541
French Polynesia,Papeet?,Oceania,271800
French Southern Territories,Port-aux-Français,Africa,140
Gabon,Libreville,Africa,1802278
Gambia,Banjul,Africa,1882450
Georgia,Tbilisi,Asia,3720400
Germany,Berlin,Europe,81770900
Ghana,Accra,Africa,27670174
Gibraltar,Gibraltar,Europe,33140
Greece,Athens,Europe,10858018
Greenland,Nuuk,Americas,55847
Grenada,St. George's,Americas,103328
Guadeloupe,Basse-Terre,Americas,400132
Guam,Hagåtña,Oceania,184200
Guatemala,Guatemala City,Americas,16176133
Guernsey,St. Peter Port,Europe,62999
Guinea,Conakry,Africa,12947000
Guinea-Bissau,Bissau,Africa,1547777
Guyana,Georgetown,Americas,746900
Haiti,Port-au-Prince,Americas,11078033
Heard Island and McDonald Islands,,,0
Holy See,Rome,Europe,451
Honduras,Tegucigalpa,Americas,8576532
Hong Kong,City of Victoria,Asia,7324300
Hungary,Budapest,Europe,9823000
Iceland,Reykjavík,Europe,334300
India,New Delhi,Asia,1295210000
Indonesia,Jakarta,Asia,258705000
Côte d'Ivoire,Yamoussoukro,Africa,22671331
Iran (Islamic Republic of),Tehran,Asia,79369900
Iraq,Baghdad,Asia,37883543
Ireland,Dublin,Europe,6378000
Isle of Man,Douglas,Europe,84497
Israel,Jerusalem,Asia,8527400
Italy,Rome,Europe,60665551
Jamaica,Kingston,Americas,2723246
Japan,Tokyo,Asia,126960000
Jersey,Saint Helier,Europe,100800
Jordan,Amman,Asia,9531712
Kazakhstan,Astana,Asia,17753200
Kenya,Nairobi,Africa,47251000
Kiribati,South Tarawa,Oceania,113400
Kuwait,Kuwait City,Asia,4183658
Kyrgyzstan,Bishkek,Asia,6047800
Lao People's Democratic Republic,Vientiane,Asia,6492400
Latvia,Riga,Europe,1961600
Lebanon,Beirut,Asia,5988000
Lesotho,Maseru,Africa,1894194
Liberia,Monrovia,Africa,4615000
Libya,Tripoli,Africa,6385000
Liechtenstein,Vaduz,Europe,37623
Lithuania,Vilnius,Europe,2872294
Luxembourg,Luxembourg,Europe,576200
Macao,,Asia,649100
Macedonia (the former Yugoslav Republic of),Skopje,Europe,2058539
Madagascar,Antananarivo,Africa,22434363
Malawi,Lilongwe,Africa,16832910
Malaysia,Kuala Lumpur,Asia,31405416
Maldives,Malé,Asia,344023
Mali,Bamako,Africa,18135000
Malta,Valletta,Europe,425384
Marshall Islands,Majuro,Oceania,54880
Martinique,Fort-de-France,Americas,378243
Mauritania,Nouakchott,Africa,3718678
Mauritius,Port Louis,Africa,1262879
Mayotte,Mamoudzou,Africa,226915
Mexico,Mexico City,Americas,122273473
Micronesia (Federated States of),Palikir,Oceania,102800
Moldova (Republic of),Chi?in?u,Europe,3553100
Monaco,Monaco,Europe,38400
Mongolia,Ulan Bator,Asia,3093100
Montenegro,Podgorica,Europe,621810
Montserrat,Plymouth,Americas,4922
Morocco,Rabat,Africa,33337529
Mozambique,Maputo,Africa,26423700
Myanmar,Naypyidaw,Asia,51419420
Namibia,Windhoek,Africa,2324388
Nauru,Yaren,Oceania,10084
Nepal,Kathmandu,Asia,28431500
Netherlands,Amsterdam,Europe,17019800
New Caledonia,Nouméa,Oceania,268767
New Zealand,Wellington,Oceania,4697854
Nicaragua,Managua,Americas,6262703
Niger,Niamey,Africa,20715000
Nigeria,Abuja,Africa,186988000
Niue,Alofi,Oceania,1470
Norfolk Island,Kingston,Oceania,2302
Korea (Democratic People's Republic of),Pyongyang,Asia,25281000
Northern Mariana Islands,Saipan,Oceania,56940
Norway,Oslo,Europe,5223256
Oman,Muscat,Asia,4420133
Pakistan,Islamabad,Asia,194125062
Palau,Ngerulmud,Oceania,17950
"Palestine, State of",Ramallah,Asia,4682467
Panama,Panama City,Americas,3814672
Papua New Guinea,Port Moresby,Oceania,8083700
Paraguay,Asunción,Americas,6854536
Peru,Lima,Americas,31488700
Philippines,Manila,Asia,103279800
Pitcairn,Adamstown,Oceania,56
Poland,Warsaw,Europe,38437239
Portugal,Lisbon,Europe,10374822
Puerto Rico,San Juan,Americas,3474182
Qatar,Doha,Asia,2587564
Republic of Kosovo,Pristina,Europe,1733842
Réunion,Saint-Denis,Africa,840974
Romania,Bucharest,Europe,19861408
Russian Federation,Moscow,Europe,146599183
Rwanda,Kigali,Africa,11553188
Saint Barthélemy,Gustavia,Americas,9417
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,4255
Saint Kitts and Nevis,Basseterre,Americas,46204
Saint Lucia,Castries,Americas,186000
Saint Martin (French part),Marigot,Americas,36979
Saint Pierre and Miquelon,Saint-Pierre,Americas,6069
Saint Vincent and the Grenadines,Kingstown,Americas,109991
Samoa,Apia,Oceania,194899
San Marino,City of San Marino,Europe,33005
Sao Tome and Principe,São Tomé,Africa,187356
Saudi Arabia,Riyadh,Asia,32248200
Senegal,Dakar,Africa,14799859
Serbia,Belgrade,Europe,7076372
Seychelles,Victoria,Africa,91400
Sierra Leone,Freetown,Africa,7075641
Singapore,Singapore,Asia,5535000
Sint Maarten (Dutch part),Philipsburg,Americas,38247
Slovakia,Bratislava,Europe,5426252
Slovenia,Ljubljana,Europe,2064188
